timestamp,a100_timestamp,a100_sensor_id,a100_channel,a100_pressure_value,a100_status,a200_timestamp,a200_sensor_id,a200_channel,a200_pressure_value,a200_status,chiller_timestamp,chiller_current_temperature,chiller_set_temperature,chiller_status
2025-09-12 13:36:58.457832,2025-09-12 13:36:58.506843,A100,1,987.5,OK,2025-09-12 13:36:58.554854,A200,2,984.9,OK,2025-09-12 13:36:58.557854,18.14,16.0,OK
2025-09-12 13:36:59.074057,2025-09-12 13:36:59.130069,A100,1,987.4000000000001,OK,2025-09-12 13:36:59.178081,A200,2,985.1000000000001,OK,2025-09-12 13:36:59.181081,18.14,16.0,OK
2025-09-12 13:36:59.696725,2025-09-12 13:36:59.753757,A100,1,987.5999999999999,OK,2025-09-12 13:36:59.801767,A200,2,985.0,OK,2025-09-12 13:36:59.804767,18.14,16.0,OK
2025-09-12 13:37:00.317028,2025-09-12 13:37:00.378042,A100,1,987.5999999999999,OK,2025-09-12 13:37:00.441388,A200,2,985.2,OK,2025-09-12 13:37:00.445388,18.14,16.0,OK
2025-09-12 13:37:00.953276,2025-09-12 13:37:01.001345,A100,1,987.4000000000001,OK,2025-09-12 13:37:01.065596,A200,2,984.6,OK,2025-09-12 13:37:01.068597,18.14,16.0,OK
2025-09-12 13:37:01.575198,2025-09-12 13:37:01.641213,A100,1,987.5,OK,2025-09-12 13:37:01.689224,A200,2,985.0,OK,2025-09-12 13:37:01.692225,18.14,16.0,OK
2025-09-12 13:37:02.195857,2025-09-12 13:37:02.248869,A100,1,987.7,OK,2025-09-12 13:37:02.312944,A200,2,985.2,OK,2025-09-12 13:37:02.317209,18.14,16.0,OK
2025-09-12 13:37:02.832098,2025-09-12 13:37:02.888111,A100,1,987.9,OK,2025-09-12 13:37:02.936378,A200,2,985.3,OK,2025-09-12 13:37:02.939389,18.14,16.0,OK
2025-09-12 13:37:03.452909,2025-09-12 13:37:03.511927,A100,1,987.7,OK,2025-09-12 13:37:03.575941,A200,2,985.3,OK,2025-09-12 13:37:03.579942,18.14,16.0,OK
2025-09-12 13:37:04.091600,2025-09-12 13:37:04.135610,A100,1,988.1,OK,2025-09-12 13:37:04.199642,A200,2,985.3,OK,2025-09-12 13:37:04.203643,18.14,16.0,OK
2025-09-12 13:37:04.714206,2025-09-12 13:37:04.775279,A100,1,988.1,OK,2025-09-12 13:37:04.823290,A200,2,985.6,OK,2025-09-12 13:37:04.826291,18.14,16.0,OK
2025-09-12 13:37:05.335733,2025-09-12 13:37:05.398748,A100,1,988.1,OK,2025-09-12 13:37:05.447759,A200,2,985.3,OK,2025-09-12 13:37:05.450760,18.14,16.0,OK
2025-09-12 13:37:05.959345,2025-09-12 13:37:06.023361,A100,1,988.1,OK,2025-09-12 13:37:06.086549,A200,2,985.6,OK,2025-09-12 13:37:06.090884,18.14,16.0,OK
2025-09-12 13:37:06.594288,2025-09-12 13:37:06.647310,A100,1,988.1,OK,2025-09-12 13:37:06.710869,A200,2,985.6,OK,2025-09-12 13:37:06.713870,18.14,16.0,OK
2025-09-12 13:37:07.217248,2025-09-12 13:37:07.270260,A100,1,988.4000000000001,OK,2025-09-12 13:37:07.334291,A200,2,985.6,OK,2025-09-12 13:37:07.338292,18.14,16.0,OK
2025-09-12 13:37:07.853132,2025-09-12 13:37:07.910141,A100,1,988.5,OK,2025-09-12 13:37:07.958211,A200,2,985.9,OK,2025-09-12 13:37:07.961212,18.14,16.0,OK
2025-09-12 13:37:08.475892,2025-09-12 13:37:08.533906,A100,1,988.4000000000001,OK,2025-09-12 13:37:08.581551,A200,2,986.0,OK,2025-09-12 13:37:08.585552,18.14,16.0,OK
2025-09-12 13:37:09.099743,2025-09-12 13:37:09.157756,A100,1,988.5,OK,2025-09-12 13:37:09.221770,A200,2,985.9,OK,2025-09-12 13:37:09.224771,18.14,16.0,OK
2025-09-12 13:37:09.739268,2025-09-12 13:37:09.797281,A100,1,988.5,OK,2025-09-12 13:37:09.845292,A200,2,985.9,OK,2025-09-12 13:37:09.849293,18.14,16.0,OK
2025-09-12 13:37:10.362830,2025-09-12 13:37:10.421115,A100,1,988.7,OK,2025-09-12 13:37:10.469208,A200,2,986.1,OK,2025-09-12 13:37:10.473209,18.14,16.0,OK
