timestamp,a100_timestamp,a100_sensor_id,a100_channel,a100_pressure_value,a100_status,a200_timestamp,a200_sensor_id,a200_channel,a200_pressure_value,a200_status,chiller_timestamp,chiller_current_temperature,chiller_set_temperature,chiller_status
2025-09-16 11:07:47.351445,2025-09-16 11:07:47.408456,A100,1,1000.9999999999999,OK,2025-09-16 11:07:47.472470,A200,2,995.8000000000001,OK,2025-09-16 11:07:47.476471,16.89,16.0,OK
2025-09-16 11:07:47.983603,2025-09-16 11:07:48.032614,A100,1,1000.0,OK,2025-09-16 11:07:48.096633,A200,2,995.8000000000001,OK,2025-09-16 11:07:48.100634,16.89,16.0,OK
2025-09-16 11:07:48.604747,2025-09-16 11:07:48.655758,A100,1,1000.0,OK,2025-09-16 11:07:48.719772,A200,2,995.5999999999999,OK,2025-09-16 11:07:48.723773,16.89,16.0,OK
2025-09-16 11:07:49.225904,2025-09-16 11:07:49.279916,A100,1,1000.0,OK,2025-09-16 11:07:49.343931,A200,2,995.9,OK,2025-09-16 11:07:49.347933,16.89,16.0,OK
2025-09-16 11:07:49.864106,2025-09-16 11:07:49.920118,A100,1,1000.9999999999999,OK,2025-09-16 11:07:49.983133,A200,2,995.7,OK,2025-09-16 11:07:49.987134,16.89,16.0,OK
2025-09-16 11:07:50.501249,2025-09-16 11:07:50.559262,A100,1,1000.0,OK,2025-09-16 11:07:50.607273,A200,2,995.8000000000001,OK,2025-09-16 11:07:50.611274,16.89,16.0,OK
2025-09-16 11:07:51.118956,2025-09-16 11:07:51.182976,A100,1,1000.0,OK,2025-09-16 11:07:51.230987,A200,2,995.8000000000001,OK,2025-09-16 11:07:51.234988,16.89,16.0,OK
2025-09-16 11:07:51.740656,2025-09-16 11:07:51.806670,A100,1,1000.0,OK,2025-09-16 11:07:51.854681,A200,2,995.9,OK,2025-09-16 11:07:51.858682,16.89,16.0,OK
2025-09-16 11:07:52.361801,2025-09-16 11:07:52.414813,A100,1,1000.9999999999999,OK,2025-09-16 11:07:52.478828,A200,2,995.8000000000001,OK,2025-09-16 11:07:52.481828,16.89,16.0,OK
2025-09-16 11:07:52.995213,2025-09-16 11:07:53.054226,A100,1,1000.9999999999999,OK,2025-09-16 11:07:53.118240,A200,2,996.1,OK,2025-09-16 11:07:53.122241,16.89,16.0,OK
2025-09-16 11:07:53.631355,2025-09-16 11:07:53.678366,A100,1,1000.9999999999999,OK,2025-09-16 11:07:53.742381,A200,2,995.9,OK,2025-09-16 11:07:53.746382,16.89,16.0,OK
2025-09-16 11:07:54.252772,2025-09-16 11:07:54.317787,A100,1,1000.9999999999999,OK,2025-09-16 11:07:54.365798,A200,2,995.9,OK,2025-09-16 11:07:54.369799,16.89,16.0,OK
2025-09-16 11:07:54.876427,2025-09-16 11:07:54.941442,A100,1,1000.9999999999999,OK,2025-09-16 11:07:54.989453,A200,2,995.8000000000001,OK,2025-09-16 11:07:54.993454,16.89,16.0,OK
2025-09-16 11:07:55.497770,2025-09-16 11:07:55.549782,A100,1,1000.9999999999999,OK,2025-09-16 11:07:55.613797,A200,2,995.9,OK,2025-09-16 11:07:55.617798,16.89,16.0,OK
