timestamp,config,hvps_mask,heat_mask,result
2026-07-24T12:04:40,125,YYNN,YYYN,o: nothing tripped; heater always off
2026-07-24T12:04:44,126,NNYN,YYYN,o: all off
2026-07-24T12:04:56,127,YNYN,YYYN,o: all off
2026-07-24T12:05:30,128,NYYN,YYYN,o: all off
2026-07-24T12:05:34,129,YYYN,YYYN,o: all off
2026-07-24T12:05:49,130,NNNY,YYYN,o: tripped; heater always off
2026-07-24T12:05:56,131,YNNY,YYYN,o: tripped; heater always off
2026-07-24T12:06:02,132,NYNY,YYYN,o: tripped; heater always off
2026-07-24T12:06:09,133,YYNY,YYYN,o: tripped; heater always off
2026-07-24T12:06:13,134,NNYY,YYYN,o: all off
2026-07-24T12:06:17,135,YNYY,YYYN,o: all off
2026-07-24T12:06:21,136,NYYY,YYYN,o: all off
2026-07-24T12:06:26,137,YYYY,YYYN,o: all off
2026-07-24T12:11:48,138,NNNN,NNNY,o: all work; nothing tripped
2026-07-24T12:11:55,139,YNNN,NNNY,o: all work; nothing tripped
2026-07-24T12:12:17,140,NYNN,NNNY,o: all work; nothing tripped
2026-07-24T12:12:26,141,YYNN,NNNY,o: all work; nothing tripped
2026-07-24T12:12:48,142,NNYN,NNNY,o: tripped; heater works; HV doesnt work
2026-07-24T12:12:55,143,YNYN,NNNY,o: tripped; heater works; HV doesnt work
2026-07-24T12:13:02,144,NYYN,NNNY,o: tripped; heater works; HV doesnt work
2026-07-24T12:13:08,145,YYYN,NNNY,o: tripped; heater works; HV doesnt work
2026-07-24T12:13:35,146,NNNY,NNNY,o: tripped; all turn off
2026-07-24T12:13:41,147,YNNY,NNNY,o: tripped; all turn off
2026-07-24T12:13:48,148,NYNY,NNNY,o: tripped; all turn off
2026-07-24T12:13:55,149,YYNY,NNNY,o: tripped; all turn off
2026-07-24T12:14:27,150,NNYY,NNNY,o: tripped; heater works; HV always off
2026-07-24T12:14:35,151,YNYY,NNNY,o: tripped; heater works; HV always off
2026-07-24T12:15:38,152,NYYY,NNNY,o: tripped; heater works; HV always off
2026-07-24T12:15:45,153,YYYY,NNNY,o: tripped; heater works; HV always off
2026-07-24T12:16:04,154,NNNN,YNNY,o: nothing tripped; all work
2026-07-24T12:16:09,155,YNNN,YNNY,o: nothing tripped; all work
2026-07-24T12:16:14,156,NYNN,YNNY,o: nothing tripped; all work
2026-07-24T12:16:20,157,YYNN,YNNY,o: nothing tripped; all work
2026-07-24T12:16:40,158,NNYN,YNNY,o: tripped; heater works; HV always off
2026-07-24T12:16:46,159,YNYN,YNNY,o: tripped; heater works; HV always off
2026-07-24T12:16:57,160,NYYN,YNNY,o: tripped; heater works; HV always off
2026-07-24T12:17:04,161,YYYN,YNNY,o: tripped; heater works; HV always off
2026-07-24T12:17:27,162,NNNY,YNNY,o: tripped; all go off
2026-07-24T12:17:40,163,YNNY,YNNY,o: tripped; all go off
2026-07-24T12:17:45,164,NYNY,YNNY,o: tripped; all go off
2026-07-24T12:17:51,165,YYNY,YNNY,o: tripped; all go off
2026-07-24T12:18:09,166,NNYY,YNNY,o: tripped; heater works; HV always off
2026-07-24T12:18:17,167,YNYY,YNNY,o: tripped; heater works; HV always off
2026-07-24T12:18:27,168,NYYY,YNNY,o: tripped; heater works; HV always off
2026-07-24T12:18:34,169,YYYY,YNNY,o: tripped; heater works; HV always off
2026-07-24T12:18:48,170,NNNN,NYNY,n
2026-07-24T12:18:53,171,YNNN,NYNY,n
2026-07-24T12:18:57,172,NYNN,NYNY,n
2026-07-24T12:19:01,173,YYNN,NYNY,n
2026-07-24T12:19:16,174,NNYN,NYNY,o: tripped; heater works; HV always off
2026-07-24T12:19:21,175,YNYN,NYNY,o: tripped; heater works; HV always off
2026-07-24T12:19:27,176,NYYN,NYNY,o: tripped; heater works; HV always off
2026-07-24T12:19:33,177,YYYN,NYNY,o: tripped; heater works; HV always off
2026-07-24T12:19:49,178,NNNY,NYNY,o: tripped; all go off
