timestamp,a100_timestamp,a100_sensor_id,a100_channel,a100_pressure_value,a100_status,a200_timestamp,a200_sensor_id,a200_channel,a200_pressure_value,a200_status,chiller_timestamp,chiller_current_temperature,chiller_set_temperature,chiller_status
2025-09-16 14:59:55.905443,2025-09-16 14:59:55.950452,A100,1,1014.9999999999999,OK,2025-09-16 14:59:56.014467,A200,2,1008.0,OK,2025-09-16 14:59:56.018468,17.31,16.0,OK
2025-09-16 14:59:56.523082,2025-09-16 14:59:56.590110,A100,1,1014.9999999999999,OK,2025-09-16 14:59:56.638125,A200,2,1008.0,OK,2025-09-16 14:59:56.642126,17.31,16.0,OK
2025-09-16 14:59:57.143685,2025-09-16 14:59:57.197703,A100,1,1016.0,OK,2025-09-16 14:59:57.261712,A200,2,1008.0,OK,2025-09-16 14:59:57.265712,17.31,16.0,OK
2025-09-16 14:59:57.781691,2025-09-16 14:59:57.837703,A100,1,1014.9999999999999,OK,2025-09-16 14:59:57.885716,A200,2,1008.0,OK,2025-09-16 14:59:57.889715,17.31,16.0,OK
2025-09-16 14:59:58.402911,2025-09-16 14:59:58.461234,A100,1,1014.9999999999999,OK,2025-09-16 14:59:58.525248,A200,2,1008.0,OK,2025-09-16 14:59:58.529249,17.31,16.0,OK
2025-09-16 14:59:59.042498,2025-09-16 14:59:59.101528,A100,1,1014.9999999999999,OK,2025-09-16 14:59:59.149539,A200,2,1006.9999999999999,OK,2025-09-16 14:59:59.152540,17.31,16.0,OK
2025-09-16 14:59:59.664993,2025-09-16 14:59:59.725006,A100,1,1014.9999999999999,OK,2025-09-16 14:59:59.773017,A200,2,1008.0,OK,2025-09-16 14:59:59.776018,17.31,16.0,OK
2025-09-16 15:00:00.287038,2025-09-16 15:00:00.348052,A100,1,1014.9999999999999,OK,2025-09-16 15:00:00.397063,A200,2,1008.0,OK,2025-09-16 15:00:00.400064,17.31,16.0,OK
2025-09-16 15:00:00.911229,2025-09-16 15:00:00.972243,A100,1,1014.9999999999999,OK,2025-09-16 15:00:01.020254,A200,2,1008.0,OK,2025-09-16 15:00:01.024254,17.32,16.0,OK
2025-09-16 15:00:01.534430,2025-09-16 15:00:01.596444,A100,1,1014.9999999999999,OK,2025-09-16 15:00:01.659458,A200,2,1008.0,OK,2025-09-16 15:00:01.663459,17.32,16.0,OK
2025-09-16 15:00:02.173573,2025-09-16 15:00:02.219584,A100,1,1014.9999999999999,OK,2025-09-16 15:00:02.283605,A200,2,1008.0,OK,2025-09-16 15:00:02.287601,17.32,16.0,OK
2025-09-16 15:00:02.794963,2025-09-16 15:00:02.858977,A100,1,1014.9999999999999,OK,2025-09-16 15:00:02.907989,A200,2,1008.0,OK,2025-09-16 15:00:02.910989,17.32,16.0,OK
2025-09-16 15:00:03.418141,2025-09-16 15:00:03.483156,A100,1,1008.0,OK,2025-09-16 15:00:03.531166,A200,2,1008.0,OK,2025-09-16 15:00:03.535167,17.32,16.0,OK
2025-09-16 15:00:04.041639,2025-09-16 15:00:04.106673,A100,1,1014.9999999999999,OK,2025-09-16 15:00:04.154683,A200,2,1008.0,OK,2025-09-16 15:00:04.158684,17.32,16.0,OK
2025-09-16 15:00:04.665864,2025-09-16 15:00:04.714875,A100,1,1014.9999999999999,OK,2025-09-16 15:00:04.762887,A200,2,1008.0,OK,2025-09-16 15:00:04.766887,17.32,16.0,OK
2025-09-16 15:00:05.274013,2025-09-16 15:00:05.338027,A100,1,1014.9999999999999,OK,2025-09-16 15:00:05.386038,A200,2,1008.0,OK,2025-09-16 15:00:05.390039,17.32,16.0,OK
